Genus	SubPathway	numKO
8	Purine_metabolism	50
Bacteroides	Purine_metabolism	43
rc4-4	Purine_metabolism	34
[Ruminococcus]	Galactose_metabolism	17
4	Vitamin_B6_metabolism	3
5	Vitamin_B6_metabolism	4
Pseudomonas	Vitamin_B6_metabolism	5
6	Vitamin_B6_metabolism	4
Oscillospira	Vitamin_B6_metabolism	2
3	Vitamin_B6_metabolism	3
7	Vitamin_B6_metabolism	4
8	Vitamin_B6_metabolism	4
Bacteroides	Vitamin_B6_metabolism	5
Coprococcus	Vitamin_B6_metabolism	4
4	Terpenoid_backbone_biosynthesis	9
7	Terpenoid_backbone_biosynthesis	11
5	Terpenoid_backbone_biosynthesis	11
Pseudomonas	Terpenoid_backbone_biosynthesis	9
6	Terpenoid_backbone_biosynthesis	9
Ruminococcus	Terpenoid_backbone_biosynthesis	10
Oscillospira	Terpenoid_backbone_biosynthesis	9
3	Terpenoid_backbone_biosynthesis	8
Turicibacter	Terpenoid_backbone_biosynthesis	9
8	Terpenoid_backbone_biosynthesis	9
Bacteroides	Terpenoid_backbone_biosynthesis	9
rc4-4	Terpenoid_backbone_biosynthesis	10
[Ruminococcus]	Terpenoid_backbone_biosynthesis	8
Coprococcus	Terpenoid_backbone_biosynthesis	9
4	Fructose_and_mannose_metabolism	8
Lactobacillus	Fructose_and_mannose_metabolism	12
5	Fructose_and_mannose_metabolism	21
Oscillospira	Fructose_and_mannose_metabolism	6
8	Fructose_and_mannose_metabolism	3
Bacteroides	Fructose_and_mannose_metabolism	13
[Ruminococcus]	Fructose_and_mannose_metabolism	13
rc4-4	Glyoxylate_and_dicarboxylate_metabolism	12
8	Pentose_phosphate_pathway	7
4	Glycolysis___Gluconeogenesis	14
4	Glycine_serine_and_threonine_metabolism	10
Bacteroides	Glycine_serine_and_threonine_metabolism	10
3	Glycolysis___Gluconeogenesis	15
Bacteroides	Glycolysis___Gluconeogenesis	17
Lactobacillus	Butanoate_metabolism	5
rc4-4	Butanoate_metabolism	3
Pseudomonas	Arginine_and_proline_metabolism	35
Pseudomonas	Propanoate_metabolism	12
8	Propanoate_metabolism	9
4	Arginine_and_proline_metabolism	11
7	Arginine_and_proline_metabolism	15
5	Arginine_and_proline_metabolism	15
6	Arginine_and_proline_metabolism	21
Ruminococcus	Arginine_and_proline_metabolism	11
Oscillospira	Arginine_and_proline_metabolism	12
3	Arginine_and_proline_metabolism	11
8	Arginine_and_proline_metabolism	13
Bacteroides	Arginine_and_proline_metabolism	13
rc4-4	Arginine_and_proline_metabolism	10
[Ruminococcus]	Arginine_and_proline_metabolism	7
Coprococcus	Arginine_and_proline_metabolism	10
Pseudomonas	Phenylalanine_metabolism	14
Lactobacillus	Arginine_and_proline_metabolism	4
Pseudomonas	Tyrosine_metabolism	13
8	None	566
4	Pyruvate_metabolism	11
Oscillospira	None	491
rc4-4	None	491
7	Carbon_fixation_pathways_in_prokaryotes	7
5	Carbon_fixation_pathways_in_prokaryotes	6
6	Carbon_fixation_pathways_in_prokaryotes	7
rc4-4	Carbon_fixation_pathways_in_prokaryotes	4
[Ruminococcus]	Carbon_fixation_pathways_in_prokaryotes	5
4	Lysine_biosynthesis	9
7	Lysine_biosynthesis	11
Lactobacillus	Lysine_biosynthesis	10
5	Lysine_biosynthesis	12
Pseudomonas	Lysine_biosynthesis	11
6	Lysine_biosynthesis	11
Ruminococcus	Lysine_biosynthesis	9
Oscillospira	Lysine_biosynthesis	10
3	Lysine_biosynthesis	8
Turicibacter	Lysine_biosynthesis	9
8	Lysine_biosynthesis	9
Bacteroides	Lysine_biosynthesis	9
rc4-4	Lysine_biosynthesis	9
[Ruminococcus]	Lysine_biosynthesis	10
Coprococcus	Lysine_biosynthesis	10
4	Pyrimidine_metabolism	21
7	Pyrimidine_metabolism	29
Lactobacillus	Pyrimidine_metabolism	20
5	Pyrimidine_metabolism	28
Pseudomonas	Pyrimidine_metabolism	19
6	Pyrimidine_metabolism	26
Ruminococcus	Pyrimidine_metabolism	24
Oscillospira	Pyrimidine_metabolism	22
3	Pyrimidine_metabolism	20
8	Pyrimidine_metabolism	18
Bacteroides	Pyrimidine_metabolism	21
rc4-4	Pyrimidine_metabolism	20
[Ruminococcus]	Pyrimidine_metabolism	22
Coprococcus	Pyrimidine_metabolism	23
Pseudomonas	Porphyrin_and_chlorophyll_metabolism	35
8	Porphyrin_and_chlorophyll_metabolism	16
7	Porphyrin_and_chlorophyll_metabolism	29
Turicibacter	Porphyrin_and_chlorophyll_metabolism	4
Lactobacillus	None	385
Turicibacter	None	432
Lactobacillus	Citrate_cycle_TCA_cycle	2
Pseudomonas	Fatty_acid_degradation	5
8	Fatty_acid_degradation	6
4	Geraniol_degradation	1
Pseudomonas	Geraniol_degradation	8
7	Geraniol_degradation	1
3	Geraniol_degradation	1
8	Geraniol_degradation	1
Bacteroides	Geraniol_degradation	2
3	Alanine_aspartate_and_glutamate_metabolism	8
Turicibacter	Alanine_aspartate_and_glutamate_metabolism	7
Bacteroides	Alanine_aspartate_and_glutamate_metabolism	13
rc4-4	Alanine_aspartate_and_glutamate_metabolism	7
Coprococcus	Alanine_aspartate_and_glutamate_metabolism	8
Pseudomonas	Nitrogen_metabolism	20
6	Nitrogen_metabolism	7
8	Nitrogen_metabolism	14
rc4-4	Nitrogen_metabolism	4
4	Nitrogen_metabolism	3
7	Nitrogen_metabolism	7
Lactobacillus	Nitrogen_metabolism	1
5	Nitrogen_metabolism	8
Ruminococcus	Nitrogen_metabolism	2
Oscillospira	Nitrogen_metabolism	4
3	Nitrogen_metabolism	2
Bacteroides	Nitrogen_metabolism	5
[Ruminococcus]	Nitrogen_metabolism	4
Coprococcus	Nitrogen_metabolism	5
Turicibacter	Nitrogen_metabolism	2
4	Alanine_aspartate_and_glutamate_metabolism	8
7	Alanine_aspartate_and_glutamate_metabolism	11
5	Alanine_aspartate_and_glutamate_metabolism	11
Pseudomonas	Alanine_aspartate_and_glutamate_metabolism	11
6	Alanine_aspartate_and_glutamate_metabolism	10
Ruminococcus	Alanine_aspartate_and_glutamate_metabolism	6
8	Alanine_aspartate_and_glutamate_metabolism	7
