OTU_ID	Cef2dayrec21	Cef2dayrec22	Cef2dayrec23	Cef2dayrec25	Cef2dayrec26	Cef2dayrec28	Cef6wkrec13	Cef6wkrec14	Cef6wkrec15	Cef6wkrec16	Cef6wkrec17	Cef6wkrec18	Cef6wkrec19	Cef6wkrec20	NoAbx29	NoAbx31	NoAbx32	NoAbx33	NoAbx34	NoAbx35	NoAbx36	NoAbx6wkrec37	NoAbx6wkrec38	NoAbx6wkrec39	NoAbx6wkrec40	NoAbx6wkrec41	NoAbx6wkrec42	NoAbx6wkrec43	NoAbx6wkrec44
320912	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1105016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0
174819	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	2	0	1	0	2	1	2	1	0	2	0	1
268220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	36	4	0	1	1	2	20	1	4
452823	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
219151	0	0	0	101	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
275987	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
621700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
210950	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	4	8	7	8	0	5	5	5	4	3	15	3	9	3
264359	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
272905	0	0	0	0	0	0	0	0	0	0	8	14	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1
171399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	2	0	0	0	1	0
4481359	0	0	0	0	0	0	1	8	14	12	0	0	0	0	0	2	1	1	0	0	0	2	1	0	2	0	1	0	6
179457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	1	0	0	0	0
207288	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	2	2	1	1	0	3	0	2	4	1	1	4
264586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
267892	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
198904	0	0	0	0	0	0	5	13	14	15	0	8	11	9	0	0	0	1	0	2	0	0	0	1	5	1	1	0	0
640998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
314374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	3	0	0	0	1	1	0
732285	0	0	0	0	0	0	0	0	10	6	12	10	9	6	0	0	0	1	0	0	1	0	2	0	0	0	0	4	0
185723	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	5	7	1	0	3	1	1	0	2	6	1	1	3
356353	0	0	0	0	0	0	0	0	4	3	0	0	6	3	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
274455	0	0	0	0	0	0	0	2	0	0	1	1	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
376862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
3940412	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
337407	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
273806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
263107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
462727	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
344527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
319791	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
511475	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
398255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
262917	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	1	1	0	1	0	0	1	0	2	0	4	2
271822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
298723	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
353593	0	0	0	0	0	0	2	3	1	0	0	0	5	4	0	0	0	3	0	0	1	0	0	0	1	0	1	1	1
1101434	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
191098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
136604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	1
4440624	0	0	0	0	0	0	3	12	12	2	0	2	5	5	2	1	4	3	0	2	2	9	1	0	0	1	0	1	0
263203	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
311961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
267373	0	0	0	0	0	0	1	20	1	9	6	14	17	16	2	2	1	0	0	0	0	1	1	2	0	3	1	1	0
