Gene	Category	SuperPathway	SubPathway
K00170	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00172	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00171	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K03737	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K01810	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K06859	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K13810	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K15916	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K00036	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K19243	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K01057	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K07404	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K13937	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K00033	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K01783	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K00615	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K00616	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K01807	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K01808	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K13812	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K08093	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K08094	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K13831	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K01621	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K01619	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K00852	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K01839	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K22199	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K01835	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K15778	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K15779	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K05774	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K00948	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K01690	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K01625	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K17463	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K11395	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K00131	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K18978	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K00034	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K21840	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K18124	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K18125	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K00115	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K19813	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K00117	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K01053	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K06151	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K06152	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K00090	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K22229	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K11441	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K00032	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K00851	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K05308	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K00874	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K18126	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K18127	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K03738	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K18020	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K18021	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K18022	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K18128	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K11529	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K22345	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K17464	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K17465	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K17466	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K17467	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K17468	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K01623	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K11645	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K01624	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K01622	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K16305	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K16306	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K03841	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K02446	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K11532	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K01086	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K04041	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K00850	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K16370	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K21071	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K00918	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K00895	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
K01051	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K01728	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K01731	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K19551	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K01730	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K01815	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K00065	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K01184	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K01213	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K01812	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K00041	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K01685	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K16849	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K16850	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K01686	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K08323	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K08322	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K00040	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K21619	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K18106	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K19634	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K18102	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K18103	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K18107	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K01195	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K14756	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K00699	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K16190	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K12447	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K00012	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K00963	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K00002	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K13247	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K08092	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K00880	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K03078	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K03079	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K03077	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K01783	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K01804	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K00853	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K00854	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K01805	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K00011	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K00594	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K17743	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K03331	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K01820	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K00848	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K01629	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K17738	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K17818	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K00007	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K09988	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K05351	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K00008	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K22185	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K00078	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K14273	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K14274	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K14275	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K22186	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K22396	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K22397	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K14259	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K13877	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K19588	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K22187	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K00875	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K00039	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K21680	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K05352	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K21681	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K21030	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K21031	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
K01218	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K19355	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K00847	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K01809	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K15916	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K16011	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K17497	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K01840	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K15778	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K16881	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K00971	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K00966	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K01711	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K02377	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K00976	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K18447	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K05305	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K01818	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K00879	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K01628	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K00064	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K18333	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K07046	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K18334	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K18335	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K18336	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K18337	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K18338	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K12661	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K18339	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K12660	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K01813	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K21883	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K01820	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K00848	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K01629	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K05947	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K07026	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K18818	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K00844	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K00850	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K16370	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K21071	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K00895	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K03841	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K02446	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K11532	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K01086	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K04041	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K19028	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K19029	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K01103	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K19030	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K00900	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K14634	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K00009	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K00068	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K19956	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K00846	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K00882	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K00008	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K00011	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
K00594	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
